,Time,X,Y,Z
0,0,-0.13639577,0.13878867,9.688885
1,4,-0.11485959,0.16271774,9.758279
2,9,-0.10050214,0.16989647,9.784601
3,14,-0.14357449,0.11485959,9.705635
4,19,-0.15314612,0.12443122,9.7176
5,23,-0.07657306,0.1459674,9.763065
6,28,-0.12443122,0.107680865,9.751101
7,33,-0.1459674,0.16989647,9.684099
8,38,-0.1459674,0.1459674,9.731957
9,42,-0.13400285,0.1483603,9.767851
10,47,-0.1196454,0.12443122,9.722385
11,52,-0.14357449,0.18664683,9.73435
12,57,-0.05025107,0.12921704,9.753493
13,61,-0.1483603,0.1172525,9.755886
14,66,-0.11485959,0.12921704,9.712814
15,71,-0.13400285,0.15553902,9.73435
16,76,-0.11246668,0.16511066,9.739136
17,80,-0.11485959,0.13400285,9.753493
18,85,-0.15793194,0.14357449,9.688885
19,90,-0.13400285,0.16032484,9.746315
20,95,-0.13400285,0.12921704,9.784601
21,99,-0.08614469,0.07657306,9.753493
22,104,-0.14357449,0.13160995,9.719993
23,109,-0.12921704,0.1483603,9.686492
24,114,-0.13878867,0.105287954,9.753493
25,118,-0.1459674,0.14118157,9.724778
26,123,-0.1172525,0.1172525,9.746315
27,128,-0.14118157,0.12921704,9.7415285
28,133,-0.1196454,0.09571633,9.794173
29,137,-0.16750357,0.16750357,9.6912775
30,142,-0.12921704,0.16032484,9.7176
31,147,-0.105287954,0.1196454,9.758279
32,152,-0.17468229,0.1172525,9.729565
33,156,-0.13160995,0.13878867,9.743921
34,161,-0.15075321,0.12203831,9.794173
35,166,-0.07896597,0.110073775,9.763065
36,171,-0.088537596,0.107680865,9.755886
37,175,-0.1196454,0.13639577,9.748708
38,180,-0.09810923,0.1196454,9.770244
39,185,-0.13639577,0.12921704,9.73435
40,190,-0.1459674,0.12443122,9.715207
41,194,-0.13400285,0.17228939,9.7415285
42,199,-0.088537596,0.14357449,9.767851
43,204,-0.15075321,0.16511066,9.710421
44,209,-0.16271774,0.12203831,9.703242
45,213,-0.09810923,0.12921704,9.710421
46,218,-0.11246668,0.10289505,9.722385
47,223,-0.15553902,0.15793194,9.6912775
48,228,-0.15793194,0.15793194,9.753493
49,232,-0.12682413,0.12443122,9.782208
50,237,-0.105287954,0.14118157,9.722385
51,242,-0.12921704,0.1459674,9.708028
52,247,-0.12443122,0.1172525,9.777423
53,251,-0.15314612,0.12682413,9.731957
54,256,-0.15553902,0.14357449,9.736743
55,261,-0.13639577,0.15314612,9.708028
56,266,-0.12443122,0.1196454,9.784601
57,270,-0.14357449,0.12682413,9.722385
58,275,-0.13400285,0.12443122,9.731957
59,280,-0.10289505,0.09810923,9.727171
60,285,-0.12921704,0.15314612,9.719993
61,289,-0.11246668,0.11246668,9.748708
62,294,-0.17228939,0.15314612,9.748708
63,299,-0.12921704,0.10289505,9.722385
64,304,-0.14118157,0.14118157,9.739136
65,308,-0.12443122,0.15075321,9.763065
66,313,-0.1459674,0.1483603,9.755886
67,318,-0.10289505,0.13160995,9.753493
68,323,-0.110073775,0.12682413,9.715207
69,327,-0.1459674,0.12921704,9.7415285
70,332,-0.15314612,0.09810923,9.736743
71,337,-0.12921704,0.13160995,9.751101
72,342,-0.12443122,0.15314612,9.758279
73,346,-0.07896597,0.12203831,9.755886
74,351,-0.12921704,0.12443122,9.753493
75,356,-0.13878867,0.16511066,9.739136
76,361,-0.14357449,0.1459674,9.739136
77,365,-0.13400285,0.17707519,9.724778
78,370,-0.11485959,0.105287954,9.708028
79,375,-0.16750357,0.11485959,9.705635
80,380,-0.07418015,0.15075321,9.7176
81,384,-0.1196454,0.11246668,9.746315
82,389,-0.13400285,0.08614469,9.743921
83,394,-0.11485959,0.14118157,9.736743
84,399,-0.1483603,0.12682413,9.698457
85,403,-0.1172525,0.1196454,9.753493
86,408,-0.12682413,0.110073775,9.731957
87,413,-0.11246668,0.110073775,9.751101
88,418,-0.107680865,0.12203831,9.715207
89,422,-0.11246668,0.12203831,9.743921
90,427,-0.14357449,0.15075321,9.755886
91,432,-0.15075321,0.16032484,9.748708
92,437,-0.110073775,0.1172525,9.724778
93,441,-0.13400285,0.13400285,9.712814
94,446,-0.14118157,0.12921704,9.751101
95,451,-0.14357449,0.15075321,9.715207
96,456,-0.17946811,0.13160995,9.727171
97,460,-0.1459674,0.11246668,9.763065
98,465,-0.11246668,0.16032484,9.722385
99,470,-0.13160995,0.15553902,9.73435
100,475,-0.110073775,0.13639577,9.698457
101,479,-0.09571633,0.14357449,9.746315
102,484,-0.10289505,0.14357449,9.758279
103,489,-0.11246668,0.09093051,9.772636
104,494,-0.15314612,0.1483603,9.751101
105,498,-0.12203831,0.12443122,9.729565
106,503,-0.13639577,0.1459674,9.753493
107,508,-0.15793194,0.13400285,9.746315
108,513,-0.12443122,0.09571633,9.729565
109,517,-0.14118157,0.11246668,9.724778
110,522,-0.13639577,0.14118157,9.753493
111,527,-0.12443122,0.110073775,9.743921
112,532,-0.11246668,0.17228939,9.703242
113,536,-0.1483603,0.14357449,9.696064
114,541,-0.15553902,0.12682413,9.7415285
115,546,-0.12682413,0.10050214,9.770244
116,551,-0.13400285,0.1459674,9.705635
117,555,-0.12443122,0.14357449,9.760673
118,560,-0.12921704,0.14118157,9.736743
119,565,-0.107680865,0.16511066,9.710421
120,570,-0.13878867,0.15314612,9.777423
121,574,-0.13639577,0.1459674,9.708028
122,579,-0.14357449,0.14118157,9.770244
123,584,-0.1196454,0.15553902,9.751101
124,589,-0.14118157,0.12203831,9.6912775
125,593,-0.13400285,0.14357449,9.767851
126,598,-0.12682413,0.13400285,9.708028
127,603,-0.14118157,0.11246668,9.722385
128,608,-0.15075321,0.15314612,9.760673
129,612,-0.12682413,0.105287954,9.755886
130,617,-0.08614469,0.14118157,9.70085
131,622,-0.16032484,0.15793194,9.782208
132,627,-0.12443122,0.13878867,9.748708
133,631,-0.14118157,0.15075321,9.710421
134,636,-0.13878867,0.15314612,9.751101
135,641,-0.105287954,0.15553902,9.719993
136,646,-0.12921704,0.13878867,9.722385
137,650,-0.105287954,0.13878867,9.719993
138,655,-0.11246668,0.15314612,9.736743
139,660,-0.107680865,0.12921704,9.746315
140,665,-0.15314612,0.13160995,9.782208
141,669,-0.13639577,0.12921704,9.770244
142,674,-0.12443122,0.12203831,9.739136
143,679,-0.12682413,0.16750357,9.748708
144,684,-0.14357449,0.12443122,9.751101
145,688,-0.15553902,0.15553902,9.7415285
146,693,-0.13878867,0.13878867,9.719993
147,698,-0.14357449,0.15075321,9.753493
148,703,-0.16271774,0.15314612,9.7415285
149,707,-0.13400285,0.10289505,9.73435
150,712,-0.09332342,0.12443122,9.722385
151,717,-0.12203831,0.12921704,9.753493
152,722,-0.16989647,0.13639577,9.758279
153,726,-0.110073775,0.11485959,9.743921
154,731,-0.15553902,0.12921704,9.753493
155,736,-0.1196454,0.13639577,9.770244
156,741,-0.17228939,0.13878867,9.746315
157,745,-0.13160995,0.12203831,9.7415285
158,750,-0.1196454,0.11485959,9.724778
159,755,-0.1172525,0.13639577,9.763065
160,760,-0.12682413,0.1196454,9.810924
161,764,-0.107680865,0.107680865,9.755886
162,769,-0.09332342,0.1459674,9.724778
163,774,-0.12682413,0.12682413,9.751101
164,779,-0.13160995,0.08614469,9.719993
165,783,-0.10050214,0.09571633,9.722385
166,788,-0.16511066,0.12921704,9.786994
167,793,-0.110073775,0.12682413,9.760673
168,798,-0.15075321,0.110073775,9.731957
169,802,-0.1483603,0.12921704,9.727171
170,807,-0.14357449,0.12443122,9.73435
171,812,-0.10289505,0.13400285,9.770244
172,817,-0.10289505,0.11485959,9.70085
173,821,-0.13878867,0.13639577,9.736743
174,826,-0.15793194,0.13639577,9.727171
175,831,-0.13160995,0.15075321,9.6912775
176,836,-0.13639577,0.1483603,9.727171
177,840,-0.12682413,0.13160995,9.746315
178,845,-0.12682413,0.14118157,9.73435
179,850,-0.13639577,0.15793194,9.705635
180,855,-0.15553902,0.15314612,9.731957
181,859,-0.12203831,0.14357449,9.772636
182,864,-0.13160995,0.15314612,9.763065
183,869,-0.16032484,0.11246668,9.729565
184,874,-0.13160995,0.12682413,9.7176
185,878,-0.07657306,0.13639577,9.7415285
186,883,-0.1459674,0.12921704,9.743921
187,888,-0.09093051,0.12443122,9.7415285
188,893,-0.10289505,0.15793194,9.705635
189,897,-0.14357449,0.12203831,9.760673
190,902,-0.08135887,0.10050214,9.703242
191,907,-0.13878867,0.12443122,9.705635
192,912,-0.12443122,0.11246668,9.73435
193,916,-0.1483603,0.13400285,9.765458
194,921,-0.09332342,0.110073775,9.736743
195,926,-0.12203831,0.14118157,9.751101
196,931,-0.14118157,0.10289505,9.7415285
197,935,-0.11246668,0.15314612,9.722385
198,940,-0.11246668,0.13639577,9.746315
