Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Alexander Jensenius,OTHER_INDOOR,31-01-2023,15:57:24,00:11:22,,144,,,,,122,25,,,,15,,,,,,185.0,85.0,192,55,40,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,95,,,,,,,24.3,,
,00:00:01,96,,,,,,,24.3,,
,00:00:02,96,,,,,,,24.3,,
,00:00:03,98,,,,,,,24.3,,
,00:00:04,97,,,,,,,24.3,,
,00:00:05,97,,,,,,,24.3,,
,00:00:06,96,,,,,,,24.3,,
,00:00:07,96,,,,,,,24.4,,
,00:00:08,94,,,,,,,24.4,,
,00:00:09,93,,,,,,,24.4,,
,00:00:10,93,,,,,,,24.4,,
,00:00:11,94,,,,,,,24.4,,
,00:00:12,95,,,,,,,24.4,,
,00:00:13,95,,,,,,,24.4,,
,00:00:14,95,,,,,,,24.4,,
,00:00:15,95,,,,,,,24.4,,
,00:00:16,95,,,,,,,24.4,,
,00:00:17,96,,,,,,,24.4,,
,00:00:18,97,,,,,,,24.4,,
,00:00:19,97,,,,,,,24.4,,
,00:00:20,97,,,,,,,24.4,,
,00:00:21,98,,,,,,,24.4,,
,00:00:22,98,,,,,,,24.4,,
,00:00:23,100,,,,,,,24.4,,
,00:00:24,100,,,,,,,24.4,,
,00:00:25,100,,,,,,,24.4,,
,00:00:26,101,,,,,,,24.5,,
,00:00:27,101,,,,,,,24.5,,
,00:00:28,102,,,,,,,24.5,,
,00:00:29,103,,,,,,,24.5,,
,00:00:30,103,,,,,,,24.5,,
,00:00:31,103,,,,,,,24.5,,
,00:00:32,104,,,,,,,24.5,,
,00:00:33,104,,,,,,,24.5,,
,00:00:34,105,,,,,,,24.5,,
,00:00:35,105,,,,,,,24.5,,
,00:00:36,105,,,,,,,24.5,,
,00:00:37,106,,,,,,,24.5,,
,00:00:38,106,,,,,,,24.5,,
,00:00:39,106,,,,,,,24.5,,
,00:00:40,106,,,,,,,24.5,,
,00:00:41,107,,,,,,,24.5,,
,00:00:42,107,,,,,,,24.5,,
,00:00:43,108,,,,,,,24.5,,
,00:00:44,109,,,,,,,24.5,,
,00:00:45,109,,,,,,,24.5,,
