DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-01 12:01:01.039+00:00, , 0, -47, -172
2023-02-01 12:01:01.078+00:00, 0, 285, 215, -464
2023-02-01 12:01:01.117+00:00, 0, 199, 339, -562
2023-02-01 12:01:01.156+00:00, 0, 523, 503, -718
2023-02-01 12:01:01.195+00:00, 0, 90, 878, -811
2023-02-01 12:01:01.234+00:00, 0, -413, -1018, 530
2023-02-01 12:01:01.273+00:00, 0, -757, -819, 476
2023-02-01 12:01:01.312+00:00, 0, -761, -683, 160
2023-02-01 12:01:01.351+00:00, 0, -503, -222, -113
2023-02-01 12:01:01.390+00:00, 0, -1151, -16, -289
2023-02-01 12:01:01.429+00:00, 0, -179, -644, -417
2023-02-01 12:01:01.468+00:00, 0, -780, -1357, 74
2023-02-01 12:01:01.507+00:00, 0, -1232, -569, -191
2023-02-01 12:01:01.546+00:00, 0, -944, 347, -944
2023-02-01 12:01:01.585+00:00, 0, -729, 530, -835
2023-02-01 12:01:01.625+00:00, 0, -98, -566, -718
2023-02-01 12:01:01.664+00:00, 0, -367, -101, -1034
2023-02-01 12:01:01.703+00:00, 0, -885, 113, -936
2023-02-01 12:01:01.742+00:00, 0, -1104, -273, -632
2023-02-01 12:01:01.781+00:00, 0, -1045, -519, -437
2023-02-01 12:01:01.820+00:00, 0, -819, -257, -573
2023-02-01 12:01:01.859+00:00, 0, -468, 109, -839
2023-02-01 12:01:01.898+00:00, 0, -70, 62, -932
2023-02-01 12:01:01.937+00:00, 0, -218, -51, -632
2023-02-01 12:01:01.976+00:00, 0, -94, -148, -936
2023-02-01 12:01:02.015+00:00, 0, -527, -27, -807
2023-02-01 12:01:02.054+00:00, 0, -449, 31, -905
2023-02-01 12:01:02.093+00:00, 0, -359, -98, -924
2023-02-01 12:01:02.132+00:00, 0, -347, -129, -995
2023-02-01 12:01:02.171+00:00, 0, -382, -156, -780
2023-02-01 12:01:02.210+00:00, 0, -359, -117, -1049
2023-02-01 12:01:02.250+00:00, 0, -257, -308, -698
2023-02-01 12:01:02.289+00:00, 0, -285, -472, -878
2023-02-01 12:01:02.328+00:00, 0, -312, -250, -928
2023-02-01 12:01:02.367+00:00, 0, -312, -273, -975
2023-02-01 12:01:02.406+00:00, 0, -476, -449, -846
2023-02-01 12:01:02.445+00:00, 0, -616, -741, -452
2023-02-01 12:01:02.484+00:00, 0, -854, -519, -702
2023-02-01 12:01:02.523+00:00, 0, -854, -464, -530
2023-02-01 12:01:02.562+00:00, 0, -581, -488, -254
2023-02-01 12:01:02.601+00:00, 0, -367, -211, -932
2023-02-01 12:01:02.640+00:00, 0, -675, -499, -780
2023-02-01 12:01:02.679+00:00, 0, -995, -776, -940
2023-02-01 12:01:02.718+00:00, 0, -597, -628, -495
2023-02-01 12:01:02.757+00:00, 0, -62, 187, -1685
2023-02-01 12:01:02.796+00:00, 0, -452, -410, -764
2023-02-01 12:01:02.835+00:00, 0, -1443, -2367, -1572
2023-02-01 12:01:02.875+00:00, 0, -1611, -2231, -1630
2023-02-01 12:01:02.914+00:00, 0, -1720, -2246, -1595
2023-02-01 12:01:02.953+00:00, 0, -1498, -2461, -1291
2023-02-01 12:01:02.992+00:00, 0, -1209, -2024, -1759
2023-02-01 12:01:03.031+00:00, 0, -1291, -2219, -1778
2023-02-01 12:01:03.070+00:00, 0, -749, -20, -749
2023-02-01 12:01:03.109+00:00, 0, -386, -59, -803
2023-02-01 12:01:03.148+00:00, 0, -491, -215, -975
2023-02-01 12:01:03.187+00:00, 0, -211, -12, -909
2023-02-01 12:01:03.226+00:00, 0, -768, -195, -741
