DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-03 11:39:37.039+00:00, , -47, -55, -959
2023-02-03 11:39:37.078+00:00, 521, -35, -23, -1037
2023-02-03 11:39:37.117+00:00, 528, -47, -109, -998
2023-02-03 11:39:37.156+00:00, 532, -27, -62, -1073
2023-02-03 11:39:37.195+00:00, 534, -43, -51, -1006
2023-02-03 11:39:37.234+00:00, 536, -59, -98, -1006
2023-02-03 11:39:37.273+00:00, 536, -31, -70, -1053
2023-02-03 11:39:37.312+00:00, 534, -47, -117, -1034
2023-02-03 11:39:37.351+00:00, 529, -35, -125, -1053
2023-02-03 11:39:37.390+00:00, 520, -12, -74, -1065
2023-02-03 11:39:37.429+00:00, 509, -31, -113, -1034
2023-02-03 11:39:37.468+00:00, 497, -51, -133, -1018
2023-02-03 11:39:37.507+00:00, 483, -47, -109, -1053
2023-02-03 11:39:37.546+00:00, 468, -55, -82, -1053
2023-02-03 11:39:37.585+00:00, 452, -51, -90, -1061
2023-02-03 11:39:37.625+00:00, 437, -35, -59, -1065
2023-02-03 11:39:37.664+00:00, 422, -23, -8, -1065
2023-02-03 11:39:37.703+00:00, 408, -27, -55, -1057
2023-02-03 11:39:37.742+00:00, 394, -27, -74, -1034
2023-02-03 11:39:37.781+00:00, 381, -27, -47, -1053
2023-02-03 11:39:37.820+00:00, 368, -35, -70, -1022
2023-02-03 11:39:37.859+00:00, 355, -27, -82, -1026
2023-02-03 11:39:37.898+00:00, 343, -43, -90, -1018
2023-02-03 11:39:37.937+00:00, 332, -35, -43, -1030
2023-02-03 11:39:37.976+00:00, 320, -35, -86, -1041
2023-02-03 11:39:38.015+00:00, 309, -35, -78, -1034
2023-02-03 11:39:38.054+00:00, 299, -43, -66, -1014
2023-02-03 11:39:38.093+00:00, 288, -31, -74, -1037
2023-02-03 11:39:38.132+00:00, 278, -35, -105, -1022
2023-02-03 11:39:38.171+00:00, 269, -20, -94, -1053
2023-02-03 11:39:38.210+00:00, 260, -23, -66, -1045
2023-02-03 11:39:38.250+00:00, 251, -27, -82, -1034
2023-02-03 11:39:38.289+00:00, 243, -20, -101, -1041
2023-02-03 11:39:38.328+00:00, 229, -12, -94, -1057
2023-02-03 11:39:38.367+00:00, 210, -20, -74, -1045
2023-02-03 11:39:38.406+00:00, 192, -8, -27, -1065
2023-02-03 11:39:38.445+00:00, 175, 4, -35, -1049
2023-02-03 11:39:38.484+00:00, 160, -47, -203, -956
2023-02-03 11:39:38.523+00:00, 148, -35, -133, -1010
2023-02-03 11:39:38.562+00:00, 138, -27, -113, -1049
2023-02-03 11:39:38.601+00:00, 130, -74, -140, -1022
2023-02-03 11:39:38.640+00:00, 123, -47, -82, -1092
2023-02-03 11:39:38.679+00:00, 117, -66, -43, -1053
2023-02-03 11:39:38.718+00:00, 112, -55, 90, -1018
2023-02-03 11:39:38.757+00:00, 108, 0, 27, -1045
2023-02-03 11:39:38.796+00:00, 104, 0, -125, -1006
2023-02-03 11:39:38.835+00:00, 100, 31, -70, -1057
2023-02-03 11:39:38.875+00:00, 97, 16, -43, -1065
2023-02-03 11:39:38.914+00:00, 95, 0, -74, -1026
2023-02-03 11:39:38.953+00:00, 92, -16, -113, -1026
2023-02-03 11:39:38.992+00:00, 89, -59, -117, -991
2023-02-03 11:39:39.031+00:00, 87, -27, -4, -1002
2023-02-03 11:39:39.070+00:00, 85, -4, 4, -1006
2023-02-03 11:39:39.109+00:00, 83, 0, -23, -1006
2023-02-03 11:39:39.148+00:00, 81, -4, -117, -1014
2023-02-03 11:39:39.187+00:00, 79, 0, -90, -1041
2023-02-03 11:39:39.226+00:00, 77, -8, -43, -1030
2023-02-03 11:39:39.265+00:00, 75, 20, -39, -1037
2023-02-03 11:39:39.304+00:00, 73, 31, -105, -1049
2023-02-03 11:39:39.343+00:00, 72, 12, -105, -1018
2023-02-03 11:39:39.382+00:00, 70, 16, -55, -1022
2023-02-03 11:39:39.421+00:00, 68, 23, -47, -1026
2023-02-03 11:39:39.460+00:00, 67, 23, -47, -1053
2023-02-03 11:39:39.500+00:00, 66, 101, -156, -1026
2023-02-03 11:39:39.539+00:00, 65, 105, -94, -1034
2023-02-03 11:39:39.578+00:00, 63, 78, -70, -1076
2023-02-03 11:39:39.617+00:00, 62, -788, -764, -1178
2023-02-03 11:39:39.656+00:00, 61, -952, -1061, -1357
2023-02-03 11:39:39.695+00:00, 60, -952, -1182, -1334
2023-02-03 11:39:39.734+00:00, 58, -967, -1346, -1338
2023-02-03 11:39:39.773+00:00, 58, -959, -1318, -1385
2023-02-03 11:39:39.812+00:00, 56, -1006, -1244, -1330
2023-02-03 11:39:39.851+00:00, 55, -979, -1197, -1330
2023-02-03 11:39:39.890+00:00, 54, -156, 776, -464
2023-02-03 11:39:39.929+00:00, 53, -164, 784, -484
2023-02-03 11:39:39.968+00:00, 52, -199, 788, -452
2023-02-03 11:39:40.007+00:00, 51, -187, 796, -480
2023-02-03 11:39:40.046+00:00, 51, -179, 792, -495
2023-02-03 11:39:40.085+00:00, 50, -179, 811, -495
2023-02-03 11:39:40.125+00:00, 49, -187, 788, -495
2023-02-03 11:39:40.164+00:00, 48, -187, 796, -480
2023-02-03 11:39:40.203+00:00, 48, -187, 815, -488
2023-02-03 11:39:40.242+00:00, 47, -195, 807, -464
2023-02-03 11:39:40.281+00:00, 47, -172, 800, -488
2023-02-03 11:39:40.320+00:00, 46, -183, 784, -476
2023-02-03 11:39:40.359+00:00, 45, -191, 784, -472
2023-02-03 11:39:40.398+00:00, 45, -183, 784, -464
2023-02-03 11:39:40.437+00:00, 44, -191, 788, -472
2023-02-03 11:39:40.476+00:00, 44, -183, 792, -491
2023-02-03 11:39:40.515+00:00, 43, -187, 768, -484
2023-02-03 11:39:40.554+00:00, 43, -187, 800, -476
2023-02-03 11:39:40.593+00:00, 42, -187, 827, -484
2023-02-03 11:39:40.632+00:00, 42, -187, 827, -472
2023-02-03 11:39:40.671+00:00, 41, -176, 784, -495
2023-02-03 11:39:40.710+00:00, 41, -183, 784, -476
2023-02-03 11:39:40.750+00:00, 40, -195, 800, -464
2023-02-03 11:39:40.789+00:00, 40, -183, 784, -495
2023-02-03 11:39:40.828+00:00, 40, -172, 772, -499
2023-02-03 11:39:40.867+00:00, 39, -183, 780, -476
2023-02-03 11:39:40.906+00:00, 39, -176, 757, -495
2023-02-03 11:39:40.945+00:00, 38, -183, 776, -488
2023-02-03 11:39:40.984+00:00, 38, -172, 807, -507
2023-02-03 11:39:41.023+00:00, 38, -179, 796, -488
2023-02-03 11:39:41.062+00:00, 37, -187, 772, -495
2023-02-03 11:39:41.101+00:00, 37, -133, 690, -566
2023-02-03 11:39:41.140+00:00, 37, -12, 667, -683
2023-02-03 11:39:41.179+00:00, 37, -90, 620, -729
2023-02-03 11:39:41.218+00:00, 36, -140, 659, -562
2023-02-03 11:39:41.257+00:00, 36, -51, 725, -698
2023-02-03 11:39:41.296+00:00, 36, -133, 842, -488
2023-02-03 11:39:41.335+00:00, 36, -390, 644, -254
2023-02-03 11:39:41.375+00:00, 35, 86, 686, -398
2023-02-03 11:39:41.414+00:00, 35, -8, 924, -86
2023-02-03 11:39:41.453+00:00, 35, 12, 1065, -39
2023-02-03 11:39:41.492+00:00, 34, -55, 1143, 144
2023-02-03 11:39:41.531+00:00, 35, -31, 991, 47
2023-02-03 11:39:41.570+00:00, 34, -140, 963, 43
2023-02-03 11:39:41.609+00:00, 34, -183, 971, 148
2023-02-03 11:39:41.648+00:00, 34, -152, 932, 90
2023-02-03 11:39:41.687+00:00, 34, -98, 1006, -82
2023-02-03 11:39:41.726+00:00, 34, -105, 956, -12
2023-02-03 11:39:41.765+00:00, 33, -187, 979, 16
2023-02-03 11:39:41.804+00:00, 33, -254, 936, 82
2023-02-03 11:39:41.843+00:00, 34, -273, 975, 183
2023-02-03 11:39:41.882+00:00, 34, -168, 944, 164
2023-02-03 11:39:41.921+00:00, 34, -179, 913, 129
2023-02-03 11:39:41.960+00:00, 518, -160, 905, 168
2023-02-03 11:39:42.000+00:00, 518, -74, 967, 125
2023-02-03 11:39:42.039+00:00, 517, -51, 1049, 164
2023-02-03 11:39:42.078+00:00, 517, -78, 1041, 238
2023-02-03 11:39:42.117+00:00, 517, -59, 1049, 289
