DateTime, Interbeat Interval (MS)
2023-01-31 14:37:49.695+00:00, 0
2023-01-31 14:37:49.890+00:00, 195
2023-01-31 14:37:50.085+00:00, 195
2023-01-31 14:38:00.425+00:00, 0
2023-01-31 14:38:01.050+00:00, 628
2023-01-31 14:38:02.495+00:00, 1449
2023-01-31 14:38:02.690+00:00, 195
2023-01-31 14:38:03.784+00:00, 1066
2023-01-31 14:38:10.855+00:00, 0
2023-01-31 14:38:11.362+00:00, 476
2023-01-31 14:38:12.339+00:00, 992
2023-01-31 14:38:13.472+00:00, 1148
2023-01-31 14:38:14.800+00:00, 1304
2023-01-31 14:38:15.308+00:00, 515
2023-01-31 14:38:15.698+00:00, 378
2023-01-31 14:38:15.894+00:00, 195
2023-01-31 14:38:16.206+00:00, 308
2023-01-31 14:38:16.401+00:00, 195
2023-01-31 14:38:16.675+00:00, 292
2023-01-31 14:38:16.870+00:00, 195
2023-01-31 14:38:17.065+00:00, 195
2023-01-31 14:38:17.300+00:00, 222
2023-01-31 14:38:17.495+00:00, 195
2023-01-31 14:38:17.769+00:00, 277
2023-01-31 14:38:18.198+00:00, 449
2023-01-31 14:38:18.394+00:00, 195
2023-01-31 14:38:18.589+00:00, 195
2023-01-31 14:38:18.784+00:00, 195
2023-01-31 14:38:18.980+00:00, 195
2023-01-31 14:38:19.253+00:00, 246
2023-01-31 14:38:19.448+00:00, 195
2023-01-31 14:38:19.644+00:00, 195
2023-01-31 14:38:19.839+00:00, 195
2023-01-31 14:38:20.034+00:00, 195
2023-01-31 14:38:20.230+00:00, 195
2023-01-31 14:38:20.425+00:00, 195
2023-01-31 14:38:20.620+00:00, 195
2023-01-31 14:38:20.815+00:00, 195
2023-01-31 14:38:21.206+00:00, 414
2023-01-31 14:38:21.440+00:00, 234
2023-01-31 14:38:21.636+00:00, 195
2023-01-31 14:38:21.831+00:00, 195
2023-01-31 14:38:22.105+00:00, 246
2023-01-31 14:38:22.300+00:00, 195
2023-01-31 14:38:22.573+00:00, 277
2023-01-31 14:38:22.925+00:00, 355
2023-01-31 14:38:23.120+00:00, 195
2023-01-31 14:38:23.433+00:00, 308
2023-01-31 14:38:23.667+00:00, 242
2023-01-31 14:38:24.175+00:00, 492
2023-01-31 14:38:24.487+00:00, 335
2023-01-31 14:38:24.761+00:00, 273
2023-01-31 14:38:25.308+00:00, 554
2023-01-31 14:38:25.659+00:00, 339
2023-01-31 14:38:25.933+00:00, 265
2023-01-31 14:38:26.245+00:00, 320
2023-01-31 14:38:26.597+00:00, 335
2023-01-31 14:38:26.792+00:00, 195
2023-01-31 14:38:26.987+00:00, 195
2023-01-31 14:38:27.261+00:00, 273
2023-01-31 14:38:27.612+00:00, 359
2023-01-31 14:38:27.886+00:00, 265
2023-01-31 14:38:28.081+00:00, 195
2023-01-31 14:38:28.433+00:00, 371
2023-01-31 14:38:28.784+00:00, 328
2023-01-31 14:38:29.175+00:00, 394
2023-01-31 14:38:29.370+00:00, 195
2023-01-31 14:38:29.565+00:00, 214
2023-01-31 14:38:29.839+00:00, 253
2023-01-31 14:38:30.034+00:00, 195
2023-01-31 14:38:30.230+00:00, 195
2023-01-31 14:38:30.425+00:00, 195
2023-01-31 14:38:30.776+00:00, 375
2023-01-31 14:38:30.972+00:00, 195
2023-01-31 14:38:31.323+00:00, 351
2023-01-31 14:38:32.105+00:00, 781
2023-01-31 14:38:32.651+00:00, 523
2023-01-31 14:38:33.081+00:00, 460
2023-01-31 14:38:33.628+00:00, 511
2023-01-31 14:38:33.823+00:00, 195
2023-01-31 14:38:34.331+00:00, 531
2023-01-31 14:38:34.956+00:00, 628
2023-01-31 14:38:35.698+00:00, 714
2023-01-31 14:38:36.284+00:00, 589
2023-01-31 14:38:36.480+00:00, 195
2023-01-31 14:38:36.675+00:00, 195
2023-01-31 14:38:36.948+00:00, 285
2023-01-31 14:38:37.261+00:00, 328
2023-01-31 14:38:37.495+00:00, 230
2023-01-31 14:38:37.690+00:00, 195
2023-01-31 14:38:37.886+00:00, 195
2023-01-31 14:38:38.237+00:00, 324
2023-01-31 14:38:38.433+00:00, 195
2023-01-31 14:38:38.628+00:00, 195
2023-01-31 14:38:39.058+00:00, 441
2023-01-31 14:38:39.253+00:00, 195
2023-01-31 14:38:39.526+00:00, 289
2023-01-31 14:38:39.761+00:00, 230
2023-01-31 14:38:39.956+00:00, 195
2023-01-31 14:38:40.151+00:00, 195
2023-01-31 14:38:40.347+00:00, 195
2023-01-31 14:38:40.542+00:00, 195
2023-01-31 14:38:40.855+00:00, 312
2023-01-31 14:38:41.167+00:00, 308
2023-01-31 14:38:41.401+00:00, 218
2023-01-31 14:38:41.597+00:00, 226
2023-01-31 14:38:41.870+00:00, 273
2023-01-31 14:38:42.105+00:00, 203
2023-01-31 14:38:42.300+00:00, 195
2023-01-31 14:38:42.495+00:00, 195
2023-01-31 14:38:42.690+00:00, 195
2023-01-31 14:38:42.886+00:00, 195
2023-01-31 14:38:43.081+00:00, 199
2023-01-31 14:38:43.276+00:00, 195
2023-01-31 14:38:43.472+00:00, 195
2023-01-31 14:38:43.667+00:00, 195
2023-01-31 14:38:43.901+00:00, 246
2023-01-31 14:38:44.097+00:00, 195
2023-01-31 14:38:44.409+00:00, 300
2023-01-31 14:38:44.605+00:00, 195
2023-01-31 14:38:44.800+00:00, 195
2023-01-31 14:38:44.995+00:00, 195
2023-01-31 14:38:45.190+00:00, 195
2023-01-31 14:38:45.386+00:00, 195
2023-01-31 14:38:45.581+00:00, 195
2023-01-31 14:38:45.776+00:00, 195
