DateTime, Interbeat Interval (MS)
2023-02-01 12:01:05.179+00:00, 0
2023-02-01 12:01:05.375+00:00, 195
2023-02-01 12:01:05.765+00:00, 382
2023-02-01 12:01:05.960+00:00, 195
2023-02-01 12:01:06.156+00:00, 195
2023-02-01 12:01:06.351+00:00, 195
2023-02-01 12:01:06.546+00:00, 195
2023-02-01 12:01:06.742+00:00, 195
2023-02-01 12:01:07.015+00:00, 269
2023-02-01 12:01:07.210+00:00, 195
2023-02-01 12:01:07.406+00:00, 195
2023-02-01 12:01:07.601+00:00, 195
2023-02-01 12:01:07.835+00:00, 234
2023-02-01 12:01:08.031+00:00, 199
2023-02-01 12:01:08.226+00:00, 195
2023-02-01 12:01:08.421+00:00, 195
2023-02-01 12:01:08.617+00:00, 195
2023-02-01 12:01:09.750+00:00, 1125
2023-02-01 12:01:10.531+00:00, 773
2023-02-01 12:01:11.273+00:00, 773
2023-02-01 12:01:12.054+00:00, 761
2023-02-01 12:01:12.796+00:00, 750
2023-02-01 12:01:13.539+00:00, 734
2023-02-01 12:01:14.281+00:00, 730
2023-02-01 12:01:14.984+00:00, 726
2023-02-01 12:01:15.738+00:00, 726
2023-02-01 12:01:16.441+00:00, 710
2023-02-01 12:01:17.144+00:00, 710
2023-02-01 12:01:17.886+00:00, 722
2023-02-01 12:01:18.277+00:00, 421
2023-02-01 12:01:18.472+00:00, 195
2023-02-01 12:01:18.667+00:00, 195
2023-02-01 12:01:18.941+00:00, 238
2023-02-01 12:01:19.331+00:00, 421
2023-02-01 12:01:19.566+00:00, 230
2023-02-01 12:01:19.839+00:00, 246
2023-02-01 12:01:20.074+00:00, 265
2023-02-01 12:01:20.269+00:00, 195
2023-02-01 12:01:20.620+00:00, 347
2023-02-01 12:01:21.011+00:00, 390
2023-02-01 12:01:22.261+00:00, 1250
2023-02-01 12:01:23.120+00:00, 851
2023-02-01 12:01:23.667+00:00, 562
2023-02-01 12:01:23.902+00:00, 210
2023-02-01 12:01:24.097+00:00, 195
2023-02-01 12:01:24.292+00:00, 195
2023-02-01 12:01:24.488+00:00, 195
2023-02-01 12:01:25.464+00:00, 972
2023-02-01 12:01:25.738+00:00, 289
2023-02-01 12:01:26.089+00:00, 339
2023-02-01 12:01:26.402+00:00, 316
2023-02-01 12:01:27.222+00:00, 824
2023-02-01 12:01:27.417+00:00, 195
2023-02-01 12:01:27.847+00:00, 433
2023-02-01 12:01:28.120+00:00, 281
2023-02-01 12:01:28.667+00:00, 542
2023-02-01 12:01:28.863+00:00, 195
2023-02-01 12:01:29.370+00:00, 500
2023-02-01 12:01:29.722+00:00, 335
2023-02-01 12:01:29.917+00:00, 195
2023-02-01 12:01:30.738+00:00, 824
2023-02-01 12:01:31.050+00:00, 324
2023-02-01 12:01:31.441+00:00, 386
2023-02-01 12:01:31.675+00:00, 246
2023-02-01 12:01:32.574+00:00, 875
2023-02-01 12:01:33.316+00:00, 746
2023-02-01 12:01:34.136+00:00, 824
2023-02-01 12:01:34.761+00:00, 625
2023-02-01 12:01:35.308+00:00, 542
2023-02-01 12:01:35.972+00:00, 656
2023-02-01 12:01:36.167+00:00, 195
2023-02-01 12:01:36.597+00:00, 464
2023-02-01 12:01:38.081+00:00, 1457
2023-02-01 12:01:38.667+00:00, 585
2023-02-01 12:01:38.863+00:00, 195
2023-02-01 12:01:39.058+00:00, 195
2023-02-01 12:01:39.253+00:00, 210
2023-02-01 12:01:39.527+00:00, 250
2023-02-01 12:01:40.152+00:00, 632
2023-02-01 12:01:40.347+00:00, 195
2023-02-01 12:01:41.285+00:00, 945
2023-02-01 12:01:41.675+00:00, 382
2023-02-01 12:01:41.949+00:00, 265
2023-02-01 12:01:42.144+00:00, 195
2023-02-01 12:01:42.378+00:00, 242
2023-02-01 12:01:42.574+00:00, 195
2023-02-01 12:01:42.769+00:00, 195
2023-02-01 12:01:43.081+00:00, 335
2023-02-01 12:01:43.355+00:00, 269
2023-02-01 12:01:43.550+00:00, 195
2023-02-01 12:01:43.785+00:00, 242
2023-02-01 12:01:44.214+00:00, 425
2023-02-01 12:01:44.410+00:00, 195
2023-02-01 12:01:44.605+00:00, 195
2023-02-01 12:01:44.800+00:00, 195
2023-02-01 12:01:45.542+00:00, 734
2023-02-01 12:01:45.777+00:00, 242
2023-02-01 12:01:45.972+00:00, 195
2023-02-01 12:01:46.636+00:00, 648
2023-02-01 12:01:46.949+00:00, 332
2023-02-01 12:01:47.144+00:00, 195
2023-02-01 12:01:47.456+00:00, 281
2023-02-01 12:01:47.730+00:00, 292
2023-02-01 12:01:47.925+00:00, 195
2023-02-01 12:01:48.199+00:00, 277
2023-02-01 12:01:48.394+00:00, 195
2023-02-01 12:01:48.589+00:00, 195
2023-02-01 12:01:48.785+00:00, 195
2023-02-01 12:01:49.097+00:00, 304
2023-02-01 12:01:49.292+00:00, 195
2023-02-01 12:01:49.527+00:00, 250
2023-02-01 12:01:49.722+00:00, 195
2023-02-01 12:01:49.995+00:00, 261
2023-02-01 12:01:50.191+00:00, 195
2023-02-01 12:01:50.386+00:00, 195
2023-02-01 12:01:50.581+00:00, 195
2023-02-01 12:01:50.777+00:00, 195
2023-02-01 12:01:51.753+00:00, 953
