average,rrData
76.1,812
75.4,812
74.9,812
75.200005,789
75.0,804
75.5,781
76.1,773
76.6,773
77.6,750
79.700005,710
81.1,710
82.1,710
80.700005,773
78.9,804
76.8,835
75.1,843
73.5,859
72.6,851
72.4,835
72.0,843
72.200005,828
72.5,820
72.9,812
73.200005,812
73.4,812
74.200005,789
74.700005,789
75.6,773
76.4,765
77.3,757
78.9,726
79.200005,750
77.8,804
76.8,804
75.5,828
75.0,812
74.9,804
74.4,820
73.8,828
73.4,828
73.3,820
73.3,820
73.9,796
74.5,789
75.700005,765
76.0,781
75.8,796
74.8,828
73.3,859
72.9,835
71.8,867
70.8,875
70.0,882
69.4,882
69.200005,875
69.0,875
69.1,867
70.8,804
71.9,804
72.5,812
72.5,828
72.3,835
71.8,851
70.5,890
69.0,914
67.8,921
67.0,921
66.3,929
66.8,882
67.0,890
67.1,890
67.0,898
67.1,890
66.8,906
66.6,906
66.700005,898
66.5,906
66.200005,914
66.0,914
66.1,906
66.1,906
65.8,921
66.6,875
67.4,867
67.9,867
68.1,875
68.6,859
69.0,859
69.5,851
69.5,750
71.5,789
73.1,781
74.700005,765
76.1,757
76.6,773
76.700005,781
77.200005,765
78.3,742
79.9,718
81.5,703
81.6,734
81.4,742
80.3,773
79.5,773
78.700005,781
77.700005,796
77.9,765
78.3,757
78.1,773
78.200005,765
78.0,773
77.6,781
77.1,789
75.9,820
74.1,859
72.4,875
71.6,859
71.1,859
70.9,851
70.4,867
70.200005,859
70.1,859
70.200005,851
70.1,859
69.8,867
69.3,882
69.3,867
69.3,867
69.5,859
69.4,867
69.0,882
68.5,890
68.700005,867
69.0,859
69.200005,859
69.0,875
69.1,867
69.3,859
69.5,859
70.0,843
70.200005,851
69.700005,875
69.4,875
69.700005,851
69.4,875
69.3,867
69.1,875
68.9,875
69.4,851
69.5,859
69.8,851
70.0,851
69.8,867
69.1,890
68.9,875
69.0,867
68.9,875
68.4,890
67.9,898
67.700005,890
67.8,882
68.200005,867
68.3,875
68.4,875
68.6,867
69.0,859
69.5,851
69.6,859
69.5,867
69.8,851
70.0,851
70.4,843
70.4,851
70.200005,859
70.5,843
70.9,835
71.4,828
71.6,835
71.9,828
72.3,820
72.6,820
73.0,812
73.1,820
72.9,828
72.8,828
72.700005,828
72.6,828
72.6,828
72.6,828
72.6,828
72.8,820
72.9,820
72.8,828
72.9,820
73.200005,812
73.9,796
74.4,796
74.200005,812
74.3,804
74.4,804
74.700005,796
74.5,812
74.3,812
73.8,828
73.8,812
73.8,812
74.0,804
74.200005,804
74.3,804
74.6,796
75.0,789
75.3,789
75.5,789
75.0,812
74.700005,812
74.5,812
74.1,820
73.8,820
73.4,828
73.3,820
73.700005,804
74.200005,796
74.700005,789
75.1,789
75.200005,796
75.0,804
74.9,804
74.8,804
74.5,812
74.1,820
74.3,804
74.6,796
75.0,789
75.8,773
77.1,750
78.200005,742
78.700005,750
78.9,757
79.0,757
78.8,765
78.200005,781
78.0,773
77.9,773
78.1,765
78.200005,765
77.8,781
77.5,781
77.5,773
77.8,765
78.0,765
77.9,773
77.6,781
77.6,773
77.6,773
77.6,773
77.4,781
77.0,789
76.9,781
77.1,773
77.3,773
77.1,781
76.8,789
76.8,781
76.6,789
76.700005,781
76.700005,781
76.700005,781
76.5,789
76.6,781
76.9,773
76.9,781
76.9,781
77.1,773
77.0,781
76.9,781
77.1,773
76.8,789
76.4,796
76.3,789
76.700005,773
76.700005,781
76.5,789
76.3,789
76.5,781
76.6,781
76.9,773
77.1,773
77.3,773
77.4,773
77.5,773
77.5,773
77.5,773
77.0,789
77.200005,773
77.1,781
77.0,781
76.9,781
76.9,781
77.1,773
77.5,765
78.0,757
77.9,773
78.1,765
78.200005,765
78.3,765
78.3,765
78.1,773
77.9,773
77.8,773
78.0,765
78.1,765
78.200005,765
78.0,773
77.9,773
77.8,773
78.3,757
78.1,773
78.200005,765
78.0,773
77.6,781
77.4,781
76.8,796
76.1,804
75.6,804
75.3,804
75.3,796
74.9,812
74.6,812
74.200005,820
74.1,812
74.0,812
74.0,812
73.8,820
73.8,812
74.0,804
74.200005,804
74.700005,789
74.9,796
75.200005,789
75.3,796
75.5,789
75.700005,789
75.6,796
75.5,796
75.5,796
75.9,781
75.9,789
77.1,750
78.0,750
78.6,750
79.3,742
79.5,750
79.4,757
79.4,757
79.1,765
78.6,773
78.5,765
78.200005,773
78.0,773
77.6,781
77.1,789
77.0,781
76.700005,789
76.5,789
76.3,789
76.5,781
76.6,781
76.4,789
76.5,781
76.8,773
77.0,773
77.200005,773
77.1,781
76.6,796
76.4,789
76.1,796
76.1,789
76.1,789
76.1,789
76.6,773
76.9,773
77.4,765
77.700005,765
77.9,765
78.3,757
78.8,750
79.200005,750
79.0,765
79.1,757
79.200005,757
79.200005,757
79.200005,757
79.0,765
78.8,765
78.700005,765
78.6,765
78.5,765
78.5,765
78.5,765
78.700005,757
78.9,757
78.700005,765
78.6,765
78.5,765
78.700005,757
78.6,765
78.1,781
77.700005,781
77.4,781
77.200005,781
77.1,781
77.3,773
77.1,781
77.0,781
77.200005,773
77.8,757
78.700005,742
79.6,734
80.5,726
81.4,718
81.8,726
81.8,734
81.5,742
81.3,742
80.4,765
80.1,757
79.9,757
79.9,750
79.700005,757
79.1,773
78.9,765
78.700005,765
78.9,757
78.5,773
78.0,781
77.4,789
77.200005,781
77.1,781
77.0,781
76.9,781
76.6,789
76.700005,781
76.700005,781
76.700005,781
77.0,773
76.700005,789
76.5,789
76.3,789
76.5,781
76.6,781
76.4,789
76.5,781
76.8,773
77.0,773
77.200005,773
77.1,781
77.0,781
77.200005,773
77.3,773
77.1,781
77.0,781
76.9,781
76.9,781
76.6,789
76.4,789
76.3,789
76.200005,789
76.4,781
76.8,773
77.0,773
77.200005,773
77.6,765
77.8,765
78.3,757
78.8,750
78.700005,765
78.9,757
79.0,757
78.8,765
79.0,757
78.8,765
