time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s)
0.062571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.085386,-0.1261,0.3191,0.9624,-1.2038,2.6692,-0.3649,-0.0585,0.0512,-0.0522,0.0,0.0,0.0,0.0,311.0,1.573,-2.6745,-0.1849,-0.0,59.93229101,10.71991311,0.0
0.143617,-0.1153,0.3,0.9577,-0.9261,2.1488,-0.387,-0.0029,-0.0141,0.0125,0.0,0.0,0.0,0.0,311.0,1.741,-4.6278,-1.1957,-0.0,59.93229101,10.71991311,0.0
0.205395,-0.1068,0.2885,0.9492,-0.699,1.7335,-0.4375,-0.0408,-0.0086,0.0174,0.0,0.0,0.0,0.0,311.0,17.9002,-6.4051,-2.042,-0.0,59.93229101,10.71991311,0.0
0.265911,-0.1197,0.2956,0.9567,-0.6879,1.497,-0.3181,-0.0408,0.0128,-0.0254,980.7449,-2.4,-2.76,-21.18,311.0,42.0165,-8.2075,-2.8656,-0.0,59.93229101,10.71991311,0.0
0.325027,-0.1158,0.2753,0.9413,-0.4937,0.9829,-0.409,0.0619,0.0354,-0.0327,980.7449,-1.68,-2.52,-23.22,311.0,61.2407,-10.0742,-3.8074,-0.0,59.93229101,10.71991311,0.0
0.387141,-0.1319,0.2944,0.9638,-0.4637,0.8857,-0.1194,-0.0512,0.0555,-0.084,980.7449,-1.32,-2.34,-23.04,310.0,57.1866,-11.7634,-4.9546,-0.0,59.93229101,10.71991311,0.0
0.447663,-0.0723,0.3567,0.965,0.2108,1.2865,-0.0529,-0.1801,-0.0117,0.3045,980.7446,-2.16,-3.42,-21.6,310.0,63.7272,-13.0178,-5.5226,-0.0,59.93229101,10.71991311,0.0
0.508413,-0.1571,0.2756,0.9484,-0.6502,0.5728,-0.237,-0.152,0.0842,0.139,980.7446,-1.32,-0.9,-22.74,310.0,60.901,-12.5316,-5.3304,6.3643,59.93229101,10.71991311,0.0
0.56616,-0.1246,0.1859,0.9323,-0.2354,-0.2799,-0.3913,-0.1067,0.2229,-0.0113,980.7441,-1.44,-1.08,-21.42,310.0,57.4234,-12.3764,-5.9062,6.3643,59.93229101,10.71991311,0.0
0.6278,-0.1593,0.2145,0.9663,-0.4297,0.0236,-0.0475,0.0057,0.1893,-0.0412,980.7441,-0.06,-0.24,-23.88,310.0,53.3499,-12.2365,-6.7793,6.3643,59.93229101,10.71991311,0.0
0.693205,-0.213,0.2824,0.9663,-0.8119,0.7009,-0.0317,0.0417,0.4471,-0.3454,980.7388,-1.38,-2.22,-21.06,310.0,51.0169,-12.1668,-7.6479,6.3643,59.93229101,10.71991311,0.0
0.750498,-0.1412,0.2414,0.9216,0.1918,0.2727,-0.4191,0.1064,0.3383,-0.0724,980.749,1.92,0.18,-23.1,310.0,51.7977,-12.322,-9.466,6.3643,59.93229101,10.71991311,0.0
