time,gFx,gFy,gFz
0.065525,-0.0379,0.4656,0.8983
0.125079,-0.0376,0.4341,0.9284
0.185246,-0.0374,0.4439,0.8949
0.249225,-0.0677,0.4644,0.9018
0.305135,-0.0508,0.4652,0.8874
0.365116,-0.0374,0.4344,0.9059
0.425638,-0.0413,0.4505,0.8842
0.48924,-0.054,0.4537,0.9081
0.545077,-0.054,0.4683,0.8878
0.605701,-0.0484,0.4569,0.8898
0.665556,-0.0503,0.4573,0.9027
0.725967,-0.0371,0.4566,0.8844
0.785258,-0.0354,0.4622,0.8627
0.844941,-0.0567,0.4908,0.8512
0.90423,-0.0623,0.4774,0.8549
0.964588,-0.107,0.494,0.8663
1.02392,-0.1551,0.5236,0.8678
1.074954,-0.1776,0.602,0.8131
1.101612,-0.1222,0.571,0.817
1.10431,-0.1016,0.5646,0.7711
1.123968,-0.0872,0.5673,0.6333
1.144732,-0.2253,0.5326,1.2497
1.164448,-0.1363,0.6516,0.7024
1.184252,-0.063,0.8426,0.7085
1.204192,-0.1727,0.4239,1.1368
1.227359,-0.2323,0.633,0.785
1.244516,-0.3474,0.6306,0.7491
1.264169,-0.3667,0.6843,0.8932
1.284326,-0.441,0.6816,0.8913
1.304098,-0.4341,0.6953,0.8898
1.32451,-0.3826,0.6709,0.7813
1.344768,-0.2326,0.8707,0.5092
1.364138,-0.3687,0.8893,0.3809
1.384365,-0.3325,0.9628,0.4371
1.404049,-0.354,0.8705,0.4989
1.424377,0.0794,0.7496,0.6611
1.44483,0.0279,0.6452,0.8285
1.464212,-0.1366,0.7268,1.0415
1.484205,-0.299,0.7188,0.9956
1.504629,-0.3374,0.7549,0.8803
1.524513,-0.2939,0.7024,0.6856
1.545358,-0.2983,0.6926,0.5373
1.569614,-0.3792,0.6489,0.4151
1.585388,-0.3516,0.5693,0.5407
1.604857,-0.3902,0.6858,0.6841
1.624914,-0.2296,0.4573,0.4713
1.645403,-0.1478,0.3159,0.5402
1.665279,-0.1759,0.4422,0.5119
1.685198,0.0227,0.5612,0.5104
1.704854,0.1527,0.5956,0.6013
1.724842,-0.0254,0.4205,0.7694
1.751619,-0.1713,0.4793,0.7916
1.764798,-0.1627,0.4725,0.7549
1.78466,-0.1891,0.3406,0.7171
1.805006,-0.4581,0.4322,0.3494
1.824447,-0.3447,0.4055,0.3059
1.845235,-0.2895,0.3369,0.3415
1.864962,-0.4275,0.3567,0.5619
1.88467,-0.4915,0.4317,0.6284
1.904649,-0.7505,0.4942,0.5104
1.930743,-0.9758,0.582,0.7532
1.945074,-0.765,0.4312,0.795
1.964908,-0.987,0.5959,0.8033
1.988604,-1.0305,0.4871,0.7344
2.004512,-1.2379,0.5988,0.8346
2.024489,-1.2775,0.603,0.8585
2.048981,-1.1414,0.612,1.0501
2.064809,-1.1192,0.5952,0.815
2.085153,-1.0796,0.5099,0.5605
2.105045,-1.0525,0.5947,0.5057
2.125012,-0.8578,0.4437,0.5793
2.146326,-0.7234,0.528,0.6943
2.170263,-0.5822,0.5099,0.6956
2.185295,-0.527,0.461,0.6088
2.204745,-0.6323,0.3591,0.5935
2.225233,-0.7847,0.4803,0.5905
2.246181,-0.7327,0.4224,0.6396
2.265318,-0.7745,0.3572,0.6401
2.290381,-0.8404,0.4681,0.6533
2.307244,-0.8632,0.4984,0.6316
2.326972,-0.8597,0.4617,0.592
2.346383,-0.8299,0.4234,0.5136
2.364667,-0.7957,0.3889,0.3972
2.384737,-0.8199,0.3254,0.2568
2.406406,-0.9088,0.2231,0.0454
2.424983,-0.9037,0.1598,-0.2081
2.445823,-0.9216,0.1502,-0.2179
2.468144,-0.9636,0.1595,-0.1353
2.489309,-0.847,0.172,-0.2306
2.504923,-0.8302,0.0655,-0.278
2.525184,-0.9711,0.1185,-0.2389
2.546525,-0.9956,0.1681,-0.2802
2.56524,-1.0332,0.1766,-0.1691
2.585992,-1.0769,0.2047,0.0046
2.604884,-1.1512,0.1554,-0.0408
2.625475,-1.2448,0.1573,-0.1116
2.646081,-1.3432,0.0884,-0.1747
2.664559,-1.3601,0.0515,-0.1319
2.685182,-1.3146,0.0034,-0.0623
2.707138,-1.3474,-0.023,-0.1112
2.725523,-1.3474,-0.065,-0.2428
2.745183,-1.3083,-0.1551,-0.2438
2.770146,-1.3271,-0.1361,-0.1766
2.784766,-1.3537,-0.0723,-0.1827
2.804649,-1.3181,-0.0398,-0.1673
2.824623,-1.308,-0.0537,-0.1397
2.845174,-1.3645,-0.0836,-0.1659
2.865063,-1.3254,0.0068,-0.1051
2.88478,-1.191,0.0098,-0.1446
2.904367,-1.044,-0.1082,0.01
2.924795,-1.0293,0.0098,0.0738
2.945638,-1.0078,-0.0469,0.0772
2.964927,-1.0149,-0.0442,-0.0044
2.988457,-1.0029,-0.0098,0.0183
3.00487,-1.1881,0.1402,0.1285
3.024557,-1.3376,0.1842,0.0562
3.045004,-1.4107,0.1522,-0.0007
3.068304,-1.3576,0.2238,0.0469
3.086819,-1.2736,0.2194,0.1451
3.107003,-1.2037,0.323,0.0691
3.127529,-0.9311,0.3755,0.1842
3.145029,-0.6142,0.3007,0.3017
3.164729,-0.3164,0.2326,0.2768
3.186815,-0.0774,0.1705,0.3152
3.204666,0.065,0.2577,0.2778
3.224291,0.1429,0.1998,0.288
3.245135,-0.0215,0.2257,0.245
3.264612,-0.1427,0.1954,0.2719
3.28673,-0.1969,0.2531,0.2939
3.304757,-0.4317,0.3152,0.4085
3.326315,-0.5807,0.3166,0.4048
3.346624,-0.5876,0.28,0.2296
3.36489,-0.7031,0.2797,0.1818
3.384768,-1.1121,0.3308,0.4703
3.404948,-1.1031,0.3906,0.3503
3.429236,-1.0655,0.1749,0.4957
3.445322,-0.9511,0.1827,0.7337
3.464708,-0.8746,0.1581,0.5864
3.485039,-0.8258,0.1717,0.7957
3.50503,-0.6809,0.1014,0.8121
3.524929,-0.5783,0.052,0.9606
3.545328,-0.4827,0.077,0.958
3.564596,-0.4478,0.0283,0.8844
3.585083,-0.5976,0.1151,0.9252
3.605205,-0.6895,0.0833,0.7615
3.625518,-0.8387,-0.0173,0.6853
3.645239,-0.9152,-0.011,0.5028
3.665542,-0.9919,0.0408,0.258
3.685305,-1.0955,0.0464,0.3472
3.704913,-1.2074,0.2458,0.4613
3.725361,-0.9355,0.0836,0.4661
3.747341,-0.6873,0.161,0.5729
3.765208,-0.5805,0.1405,0.6301
3.785074,-0.5395,0.1874,0.6633
3.805427,-0.5233,0.1527,0.6758
3.825195,-0.6364,0.107,0.6076
3.852249,-0.7139,0.0872,0.6027
3.864767,-0.5959,0.0208,0.4832
3.885193,-0.5978,0.0708,0.568
3.905298,-0.537,0.042,0.6489
3.925666,-0.5197,-0.0381,0.6479
3.945887,-0.5702,-0.0938,0.4815
3.964901,-0.7818,-0.0931,0.3393
3.985004,-1.0107,0.0838,0.4312
4.005427,-0.9875,0.213,0.7945
4.025178,-0.9272,0.3115,0.7371
4.045233,-0.7806,0.4104,0.6303
4.065183,-0.8632,0.4012,0.6284
4.088584,-0.9282,0.4832,0.505
4.105133,-0.7654,0.4554,0.529
4.126097,-0.8077,0.1769,0.5988
4.150671,-1.0913,0.088,0.8126
4.16496,-1.1971,0.0787,0.7471
4.18511,-1.2233,-0.1004,0.8761
4.205138,-1.0071,-0.3017,0.8886
4.225692,-0.9687,-0.1388,0.9682
4.245131,-0.8483,0.0745,0.9206
4.265004,-0.3547,0.0159,0.8331
4.284951,-0.0892,-0.0655,0.8434
4.304699,-0.4456,-0.0073,0.6985
4.325032,-0.6526,0.0919,0.5961
4.345049,-0.6902,0.2001,0.6714
4.3667,-0.6572,0.2072,0.7227
4.388429,-0.6772,0.0559,0.8593
4.40475,-0.644,-0.0247,0.8549
4.425108,-0.5434,-0.0701,0.7124
4.444855,-0.7066,0.1234,0.7535
4.464761,-0.7183,0.152,0.8585
